Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-1_Oct_equiv,D1103,2589.922812,9.61902172,105.2175832,1.807645125,2892.125036,0.327520725,0.078896557,0.125364384,0.938319649,0.060261632,0.886092357,1.366592537,0,1.009067494,0.010525257,0.002615451,0.003175941,1323.2,-5.419,58.673,127
Age-1_Oct_equiv,D1822,3232.510876,22.58396979,234.5016008,5.824019365,1346.968479,3.392601545,0.121051582,0.124116132,0.214254821,0.089622399,0.950783697,1.292680989,0.016169599,1.006957024,0.040177584,0.002679284,0.001763002,644.5,-5.69,53.626,136
Age-1_Oct_equiv,D807,3622.952797,29.26803193,261.2478927,2.316875025,877.4256335,2.223506007,0.238448509,0.131283451,0.643765999,0.151660165,0.859626359,1.658552683,1.514104843,1.004721927,0,0.00055504,0.000320696,767.23,-6.704,57.129,123
Age-1_Oct_equiv,D2250,3188.046013,46.30971546,444.1519329,3.552631789,1115.958198,4.291075729,0.126615901,0.484796047,0.526220767,0.0627953,0.540589042,2.244183427,0.163002195,1.106418609,0,0.013567982,0,535.53,-3.711,54.273,135
Age-1_Oct_equiv,D401,2735.784824,14.62456912,233.6302133,8.599148095,2937.931754,0.939937594,0.160505785,0.251878898,0.369078775,0.047629531,0.643740106,1.250558321,0,1.063400919,0.022852319,0.00785831,0.012161935,912.1,-6.761,56.188,122
Age-1_Oct_equiv,D2319,3621.814355,25.27919065,360.1448776,12.16544997,2076.717927,1.078952178,0.316284801,0.267059699,1.550494407,0.110729947,1.095263131,1.319051062,0.319946052,1.012391131,0.00602137,0.000305224,0.009807226,771.05,-5.69,53.626,136
Age-1_Oct_equiv,D1831,3284.449071,31.70759059,173.6007033,6.984723496,2297.920588,1.560894184,0.622061209,0.158270932,0.230659621,0.053799438,0.756230761,1.32594549,1.035343273,1.042234039,0.029386798,0.002884921,0.062472085,716.65,-5.69,53.626,136
Age-1_Oct_equiv,D2325,2173.561389,7.121855221,120.0593628,2.267175298,3617.007559,0.383631764,0.073117237,0.166273791,0.260762499,0.039572666,1.032135432,1.237821126,0,1.018817913,0.010139187,0.004261994,0.001538309,983.31,-5.69,53.626,136
Age-1_Oct_equiv,D422,2914.52099,26.62536271,499.9305369,0.857082183,1834.485887,0.1,0.162123413,0.001030741,-1.533896978,0.062921988,1.077283908,1.280084777,0,1.032445244,0,0,0,1182.46,-6.761,56.188,122
Age-1_Oct_equiv,D402,3713.868915,31.67781603,304.3790642,2.516917252,1014.524555,10.5928268,0.228354745,0.130556946,0.294937313,0.092772264,1.176356283,1.378348448,0.227056535,1.005601354,0.033753606,0,0.000513036,815.36,-6.761,56.188,122
